"Country_Name";"Country_Code";"Indicator_Code";"Indicator_Name";"Debt"
"Argentina";"ARG";"DT.GRE.DPPG";"Average grant element on new external debt commitments (%)";-600.3453
"Argentina";"ARG";"DT.INR.DPPG";"Average interest on new external debt commitments (%)";332.4422
"Argentina";"ARG";"DT.MAT.DPPG";"Average maturity on new external debt commitments (years)";404.0394
"Argentina";"ARG";"DT.DOD.ALLC.ZS";"Concessional debt (% of total external debt)";34.0608
"Argentina";"ARG";"BN.CAB.XOKA.CD";"Current account balance (current US$)";-105947230009.0
"Argentina";"ARG";"DT.DSB.DPPG.CD";"Debt buyback (current US$)";8829104000.0
"Argentina";"ARG";"DT.DOD.MDRI.CD";"Debt forgiveness grants (current US$)";16620000.0
"Argentina";"ARG";"DT.DFR.DPPG.CD";"Debt forgiveness or reduction (current US$)";-52790780703.1
"Argentina";"ARG";"DT.DSF.DPPG.CD";"Debt stock reduction (current US$)";60288868384.0
"Argentina";"ARG";"DT.DXR.DPPG.CD";"Debt stock rescheduled (current US$)";45698730739.0
"Argentina";"ARG";"DT.DOD.DECT.GN.ZS";"External debt stocks (% of GNI)";2107.34853127
"Argentina";"ARG";"NY.GNP.MKTP.CD";"GNI (current US$)";9032337724558.0
"Argentina";"ARG";"DT.DIS.IDAG.CD";"IDA grants (current US$)";0.0
"Argentina";"ARG";"DT.IXF.DPPG.CD";"Interest forgiven (current US$)";13657968569.0
"Argentina";"ARG";"DT.INT.DECT.GN.ZS";"Interest payments on external debt (% of GNI)";101.201679275
"Argentina";"ARG";"DT.IXR.DPPG.CD";"Interest rescheduled (capitalized) (current US$)";11878950543.4
"Argentina";"ARG";"DT.DOD.MLAT.ZS";"Multilateral debt (% of total external debt)";417.1048
"Argentina";"ARG";"DT.IXA.DPPG.CD.CG";"Net change in interest arrears (current US$)";2413328767.0
"Argentina";"ARG";"DT.DOD.PVLX.GN.ZS";"Present value of external debt (% of GNI)";0.0
"Argentina";"ARG";"DT.DOD.PVLX.CD";"Present value of external debt (current US$)";0.0
"Argentina";"ARG";"BX.KLT.DREM.CD.DT";"Primary income on FDI (current US$)";123386847872.2
"Argentina";"ARG";"DT.AXF.DPPG.CD";"Principal forgiven (current US$)";1331016319.0
"Argentina";"ARG";"DT.AXR.DPPG.CD";"Principal rescheduled (current US$)";14214929659.4
